,device_type,sensor_type,timestamps,x,y,z
0,,,1528117893010212000,-0.027097000000000003,-0.008362999999999999,-9.806958999999999
1,,,1528117893041094000,-0.027607,-0.012573,-9.806953
2,,,1528117893075066000,-0.027565,-0.012555,-9.806953
3,,,1528117893107421000,-0.027333999999999997,-0.012556,-9.806954
4,,,1528117893141125000,-0.026889999999999997,-0.012452,-9.806955
5,,,1528117893174793000,-0.026579000000000002,-0.012326,-9.806956
6,,,1528117893207296000,-0.02648,-0.012094,-9.806957
7,,,1528117893241171000,-0.026548000000000002,-0.012004,-9.806957
8,,,1528117893274380000,-0.026538,-0.011881999999999998,-9.806957
9,,,1528117893308525000,-0.026728,-0.011829000000000001,-9.806956
10,,,1528117893341177000,-0.026548000000000002,-0.011925,-9.806957
11,,,1528117893375012000,-0.026552,-0.011947,-9.806957
12,,,1528117893407394000,-0.026420999999999997,-0.011672,-9.806957
13,,,1528117893440250000,-0.026486000000000003,-0.011612,-9.806957
14,,,1528117893474382000,-0.026581,-0.011693,-9.806957
15,,,1528117893507270000,-0.026293,-0.011668000000000001,-9.806958
16,,,1528117893541086000,-0.026189999999999998,-0.011722,-9.806958
17,,,1528117893574383000,-0.026175999999999998,-0.01151,-9.806958
18,,,1528117893607323000,-0.026043,-0.011483,-9.806958
19,,,1528117893641068000,-0.025745,-0.011265,-9.80696
20,,,1528117893674606000,-0.025422,-0.01123,-9.806961
21,,,1528117893707330000,-0.025502,-0.011496,-9.80696
22,,,1528117893741489000,-0.025635,-0.011484000000000001,-9.80696
23,,,1528117893774412000,-0.025532,-0.011644,-9.80696
24,,,1528117893807340000,-0.025578999999999998,-0.011643,-9.80696
25,,,1528117893841364999,-0.025664999999999997,-0.01178,-9.806958999999999
26,,,1528117893874358000,-0.025671,-0.011557,-9.80696
27,,,1528117893907373000,-0.025599,-0.011297,-9.80696
28,,,1528117893941329999,-0.025421,-0.011227,-9.806961
29,,,1528117893974376000,-0.025469,-0.011433,-9.80696
30,,,1528117894007394000,-0.025502,-0.011403,-9.80696
31,,,1528117894041384000,-0.025745,-0.011331,-9.80696
32,,,1528117894074412000,-0.025813,-0.011325,-9.80696
33,,,1528117894107548000,-0.025962,-0.011505,-9.806958999999999
34,,,1528117894141138000,-0.025796,-0.011479999999999999,-9.806958999999999
35,,,1528117894174413999,-0.025830000000000002,-0.011509,-9.806958999999999
36,,,1528117894207479000,-0.025622000000000002,-0.011484000000000001,-9.80696
37,,,1528117894241068000,-0.0256,-0.011451000000000001,-9.80696
38,,,1528117894274414000,-0.025485,-0.011565,-9.80696
39,,,1528117894306958000,-0.025602999999999997,-0.011496,-9.80696
40,,,1528117894341073999,-0.025606,-0.011281,-9.80696
41,,,1528117894374411000,-0.025446,-0.011125,-9.806961
42,,,1528117894407463000,-0.025245,-0.011165000000000001,-9.806961
43,,,1528117894441074000,-0.025109,-0.011267000000000001,-9.806961
44,,,1528117894474409000,-0.025348,-0.011203,-9.806961
45,,,1528117894507465000,-0.025137,-0.011208,-9.806961
46,,,1528117894541075000,-0.025153000000000002,-0.011285,-9.806961
47,,,1528117894574412000,-0.025036000000000003,-0.011387000000000001,-9.806961
48,,,1528117894607164000,-0.02508,-0.011344,-9.806961
49,,,1528117894641069000,-0.02504,-0.011323999999999999,-9.806961
50,,,1528117894674418000,-0.02504,-0.011409,-9.806961
51,,,1528117894707375000,-0.025240000000000002,-0.011563,-9.806961
52,,,1528117894741068000,-0.025092,-0.01175,-9.806961
53,,,1528117894774413000,-0.025208,-0.011840999999999999,-9.80696
54,,,1528117894807238000,-0.025153000000000002,-0.011746,-9.806961
55,,,1528117894841068000,-0.025414,-0.011892,-9.80696
56,,,1528117894874412000,-0.025422999999999998,-0.011953,-9.80696
57,,,1528117894907374000,-0.025164,-0.012006000000000001,-9.80696
58,,,1528117894941065000,-0.025117,-0.012246,-9.80696
59,,,1528117894974924000,-0.025388,-0.012386,-9.806958999999999
60,,,1528117895007371000,-0.025232,-0.012440000000000001,-9.80696
61,,,1528117895041073000,-0.025334,-0.012385,-9.80696
62,,,1528117895074903000,-0.025184,-0.012317,-9.80696
63,,,1528117895107372000,-0.024935,-0.012217,-9.806961
64,,,1528117895141069000,-0.024998,-0.012303,-9.80696
65,,,1528117895174868000,-0.025315999999999998,-0.012473999999999999,-9.80696
66,,,1528117895207364000,-0.025387,-0.012469,-9.806958999999999
67,,,1528117895241065000,-0.025488,-0.012565999999999999,-9.806958999999999
68,,,1528117895274675000,-0.02582,-0.012594,-9.806958
69,,,1528117895307377000,-0.025771,-0.012573,-9.806958
70,,,1528117895341062000,-0.026087,-0.012487999999999999,-9.806957
71,,,1528117895374581000,-0.025985,-0.012608,-9.806957
72,,,1528117895407366000,-0.025985,-0.012782,-9.806957
73,,,1528117895441068999,-0.026144999999999998,-0.012863,-9.806957
74,,,1528117895474429000,-0.02586,-0.012828999999999998,-9.806957
75,,,1528117895507368999,-0.025975,-0.012647,-9.806957
76,,,1528117895541070000,-0.026238,-0.012868000000000001,-9.806957
77,,,1528117895574535000,-0.026312000000000002,-0.012773999999999999,-9.806956
78,,,1528117895607904000,-0.026226,-0.012806,-9.806957
79,,,1528117895641096000,-0.026123,-0.012922,-9.806957
80,,,1528117895674405000,-0.026342,-0.012863999999999999,-9.806956
81,,,1528117895707368000,-0.026097000000000002,-0.012835,-9.806957
82,,,1528117895741090000,-0.026269999999999998,-0.012828999999999998,-9.806956
83,,,1528117895774577000,-0.026248,-0.01285,-9.806957
84,,,1528117895807385000,-0.026251,-0.012921,-9.806956
85,,,1528117895841063000,-0.026233999999999997,-0.013063,-9.806956
86,,,1528117895874400000,-0.026177999999999996,-0.013262000000000001,-9.806956
87,,,1528117895907383000,-0.025867,-0.013549,-9.806957
88,,,1528117895941070000,-0.025786,-0.013628999999999999,-9.806957
89,,,1528117895974410000,-0.025587000000000002,-0.013694999999999999,-9.806957
90,,,1528117896007358000,-0.025718,-0.013730000000000001,-9.806957
91,,,1528117896041123000,-0.025814999999999998,-0.013763,-9.806956
92,,,1528117896074409000,-0.02561,-0.013888,-9.806957
93,,,1528117896107500000,-0.025942000000000003,-0.013994999999999999,-9.806956
94,,,1528117896141072000,-0.02611,-0.01408,-9.806955
95,,,1528117896174412000,-0.025789,-0.014036000000000002,-9.806956
96,,,1528117896207363000,-0.025758,-0.014157,-9.806956
97,,,1528117896241380000,-0.026026,-0.014291,-9.806955
98,,,1528117896274410000,-0.02522,-0.014346000000000001,-9.806957
99,,,1528117896307362000,-0.025144,-0.014709,-9.806957
100,,,1528117896341064000,-0.025296000000000003,-0.014792,-9.806956
101,,,1528117896374411000,-0.024841,-0.014487,-9.806958
102,,,1528117896407675000,-0.02485,-0.014372999999999999,-9.806958
103,,,1528117896441064000,-0.025252,-0.014512,-9.806957
104,,,1528117896474412999,-0.025277,-0.014190000000000001,-9.806957
105,,,1528117896507814000,-0.025337000000000002,-0.014194,-9.806957
106,,,1528117896541125000,-0.025532,-0.01429,-9.806956
107,,,1528117896574351999,-0.025519999999999998,-0.014225,-9.806957
108,,,1528117896607630999,-0.025611000000000002,-0.014391999999999999,-9.806956
109,,,1528117896641429000,-0.025713999999999997,-0.0143,-9.806956
110,,,1528117896674407000,-0.025292,-0.014365000000000001,-9.806957
111,,,1528117896707515000,-0.025487,-0.014311,-9.806956
112,,,1528117896741071000,-0.025177,-0.014163999999999998,-9.806957
113,,,1528117896774397000,-0.024978,-0.013931,-9.806958
114,,,1528117896807377000,-0.024919999999999998,-0.013719,-9.806958
115,,,1528117896841071000,-0.025033,-0.013574000000000001,-9.806958
116,,,1528117896874414000,-0.025089,-0.013509,-9.806958
117,,,1528117896907266000,-0.025106,-0.013602000000000001,-9.806958
118,,,1528117896941065000,-0.025028,-0.013563,-9.806958
119,,,1528117896974416000,-0.024891999999999997,-0.013462,-9.806958999999999
120,,,1528117897007641000,-0.02444,-0.013324,-9.80696
121,,,1528117897041065000,-0.024562999999999998,-0.013243000000000001,-9.80696
122,,,1528117897074411000,-0.024717,-0.013237,-9.80696
123,,,1528117897107300000,-0.024485,-0.013188,-9.806961
124,,,1528117897141071000,-0.024552,-0.013341999999999998,-9.80696
125,,,1528117897174417000,-0.024497,-0.013318,-9.80696
126,,,1528117897207316000,-0.024672,-0.013434,-9.80696
127,,,1528117897241692999,-0.02445,-0.013425999999999999,-9.80696
