,timestamps,x,y,z
0,1528302783000000000,-0.109003,-0.48189399999999993,-0.869423
2,1528302783000000000,-0.135973,-0.431595,-0.891761
3,1528302783000000000,-0.16626300000000002,-0.36704200000000003,-0.915225
4,1528302783000000000,-0.197249,-0.305675,-0.93148
5,1528302783000000000,-0.219904,-0.266115,-0.938523
6,1528302783000000000,-0.223082,-0.256654,-0.940406
7,1528302783000000000,-0.20621399999999998,-0.272289,-0.939859
8,1528302783000000000,-0.187524,-0.302002,-0.934681
9,1528302783000000000,-0.179147,-0.33302800000000005,-0.925742
10,1528302783000000000,-0.182832,-0.356919,-0.916068
11,1528302783000000000,-0.187677,-0.372895,-0.908695
12,1528302783000000000,-0.184263,-0.387146,-0.903418
13,1528302783000000000,-0.173966,-0.40316399999999997,-0.89844
14,1528302783000000000,-0.162382,-0.419788,-0.892978
15,1528302783000000000,-0.149224,-0.4315,-0.8896850000000001
16,1528302783000000000,-0.139316,-0.434094,-0.8900299999999999
17,1528302783000000000,-0.138183,-0.43462399999999995,-0.889948
18,1528302783000000000,-0.134215,-0.44479799999999997,-0.885517
19,1528302783000000000,-0.109097,-0.469342,-0.876251
20,1528302783000000000,-0.065193,-0.498621,-0.8643649999999999
21,1528302783000000000,-0.024714,-0.518217,-0.854892
22,1528302783000000000,0.016359000000000002,-0.517664,-0.855427
23,1528302783000000000,0.015785,-0.5116430000000001,-0.8590530000000001
24,1528302783000000000,0.007895000000000001,-0.504567,-0.8633360000000001
26,1528302783000000000,0.024047,-0.48991,-0.871441
27,1528302783000000000,0.044542,-0.476826,-0.877868
28,1528302783000000000,0.05787899999999999,-0.466397,-0.8826799999999999
29,1528302783000000000,0.066255,-0.45679200000000003,-0.8871030000000001
30,1528302783000000000,0.074848,-0.446562,-0.891616
31,1528302783000000000,0.077815,-0.438223,-0.895492
32,1528302783000000000,0.072624,-0.433613,-0.8981680000000001
33,1528302783000000000,0.061730999999999994,-0.430305,-0.9005700000000001
34,1528302783000000000,0.043672,-0.42624700000000004,-0.903552
35,1528302783000000000,0.023974000000000002,-0.43243400000000004,-0.9013469999999999
36,1528302783000000000,0.018355,-0.44581499999999996,-0.8949370000000001
37,1528302783000000000,0.008211,-0.455334,-0.890283
38,1528302783000000000,-0.002543,-0.46536000000000005,-0.8851180000000001
39,1528302783000000000,-0.015122,-0.47650600000000004,-0.879041
40,1528302783000000000,-0.029404000000000003,-0.488371,-0.8721399999999999
41,1528302783000000000,-0.040313,-0.5064,-0.8613559999999999
42,1528302783000000000,-0.039081,-0.533138,-0.845125
43,1528302783000000000,-0.031973,-0.5569529999999999,-0.8299280000000001
44,1528302783000000000,-0.034617,-0.56148,-0.826766
45,1528302783000000000,-0.041474000000000004,-0.552549,-0.832448
46,1528302783000000000,-0.044715,-0.542359,-0.8389559999999999
47,1528302783000000000,-0.041401,-0.535416,-0.8435729999999999
48,1528302783000000000,-0.040678,-0.533933,-0.8445469999999999
49,1528302784000000000,-0.060788999999999996,-0.5356569999999999,-0.8422440000000001
50,1528302784000000000,-0.094164,-0.5384800000000001,-0.83736
51,1528302784000000000,-0.117979,-0.53925,-0.8338399999999999
52,1528302784000000000,-0.13047899999999998,-0.5428930000000001,-0.8296040000000001
53,1528302784000000000,-0.141202,-0.554715,-0.8199719999999999
54,1528302784000000000,-0.177171,-0.5684560000000001,-0.8034100000000001
55,1528302784000000000,-0.238488,-0.581879,-0.777522
56,1528302784000000000,-0.29060199999999997,-0.6070810000000001,-0.739596
57,1528302784000000000,-0.312357,-0.646942,-0.6956289999999999
58,1528302784000000000,-0.31782,-0.679623,-0.661138
59,1528302784000000000,-0.321791,-0.690051,-0.6482899999999999
60,1528302784000000000,-0.334036,-0.682194,-0.650408
61,1528302784000000000,-0.35471199999999997,-0.6692140000000001,-0.65294
62,1528302784000000000,-0.382874,-0.661616,-0.644727
63,1528302784000000000,-0.42646999999999996,-0.656623,-0.6220680000000001
64,1528302784000000000,-0.47845600000000005,-0.647061,-0.593625
65,1528302784000000000,-0.5271680000000001,-0.631119,-0.5690189999999999
66,1528302784000000000,-0.563876,-0.612422,-0.5540609999999999
67,1528302784000000000,-0.5833229999999999,-0.5928479999999999,-0.5552159999999999
68,1528302784000000000,-0.583717,-0.567558,-0.580649
69,1528302784000000000,-0.570843,-0.532433,-0.625023
70,1528302784000000000,-0.559024,-0.488071,-0.670283
71,1528302784000000000,-0.573103,-0.435989,-0.693878
72,1528302784000000000,-0.6227689999999999,-0.379823,-0.684028
73,1528302784000000000,-0.665779,-0.34173200000000004,-0.663293
74,1528302784000000000,-0.656718,-0.32824699999999996,-0.678952
75,1528302784000000000,-0.614794,-0.316264,-0.722499
76,1528302784000000000,-0.576702,-0.305177,-0.757814
78,1528302784000000000,-0.560819,-0.29784099999999997,-0.772511
79,1528302784000000000,-0.5664600000000001,-0.289426,-0.7715930000000001
80,1528302784000000000,-0.581701,-0.27786700000000003,-0.764469
81,1528302784000000000,-0.5954659999999999,-0.263518,-0.7589319999999999
82,1528302784000000000,-0.60911,-0.25121,-0.752249
83,1528302784000000000,-0.619853,-0.253255,-0.742727
84,1528302784000000000,-0.624894,-0.269812,-0.732604
85,1528302784000000000,-0.623954,-0.292338,-0.72472
86,1528302784000000000,-0.618838,-0.31293000000000004,-0.720496
87,1528302784000000000,-0.612608,-0.33073,-0.7178640000000001
88,1528302784000000000,-0.609561,-0.352637,-0.7099880000000001
89,1528302784000000000,-0.612692,-0.383317,-0.691142
90,1528302784000000000,-0.61993,-0.42348900000000006,-0.660563
91,1528302784000000000,-0.6195970000000001,-0.47408100000000003,-0.625578
92,1528302784000000000,-0.6094890000000001,-0.5290819999999999,-0.59042
