,timestamps,x,y,z
0,1528117893010212000,-0.022312000000000002,0.078908,0.007162999999999999
1,1528117893041094000,0.004253,-0.012797,0.005351
2,1528117893075066000,0.001062,-0.008528,0.007459
3,1528117893107421000,0.003192,-0.0074659999999999995,0.007456999999999999
4,1528117893141125000,0.002127,-0.00853,0.00746
5,1528117893174793000,0.002127,-0.007464,0.008518000000000001
6,1528117893207296000,0.002127,-0.007464,0.007456
7,1528117893241171000,-2e-06,-0.008526,0.007458
8,1528117893274380000,0.0010630000000000001,-0.007462000000000001,0.008517
9,1528117893308525000,0.0010630000000000001,-0.007462000000000001,0.008517
10,1528117893341177000,0.0010630000000000001,-0.006397,0.006391
11,1528117893375012000,0.0010630000000000001,-0.007462000000000001,0.007456
12,1528117893407394000,0.001062,-0.007462000000000001,0.0063939999999999995
13,1528117893440250000,-2e-06,-0.007461,0.007455
14,1528117893474382000,0.0010630000000000001,-0.007462000000000001,0.007456
15,1528117893507270000,0.0010630000000000001,-0.007462000000000001,0.008517
16,1528117893541086000,0.0010630000000000001,-0.007462000000000001,0.007456
17,1528117893574383000,0.002127,-0.007464,0.007456
18,1528117893607323000,0.002128,-0.006399,0.008514
19,1528117893641068000,0.001064,-0.005331,0.007449
20,1528117893674606000,-0.003196,-0.008520999999999999,0.008518000000000001
21,1528117893707330000,0.0010630000000000001,-0.007462000000000001,0.007456
22,1528117893741489000,-1e-06,-0.0063950000000000005,0.007451999999999999
23,1528117893774412000,0.002128,-0.006399,0.008514
24,1528117893807340000,0.0010630000000000001,-0.006397,0.008514
25,1528117893841364999,0.003192,-0.0074659999999999995,0.007456999999999999
26,1528117893874358000,0.002127,-0.007464,0.008518000000000001
27,1528117893907373000,0.0010630000000000001,-0.007462000000000001,0.008517
28,1528117893941329999,-2e-06,-0.007461,0.008517
29,1528117893974376000,0.003192,-0.0064,0.008515
30,1528117894007394000,0.0010630000000000001,-0.007462000000000001,0.007456
31,1528117894041384000,0.002127,-0.007464,0.007456
32,1528117894074412000,0.004256,-0.007468000000000001,0.008519
33,1528117894107548000,0.002127,-0.007464,0.0063950000000000005
34,1528117894141138000,0.003191,-0.008532,0.008522
35,1528117894174413999,0.002127,-0.00853,0.00746
36,1528117894207479000,0.002127,-0.007464,0.007456
37,1528117894241068000,-2e-06,-0.007461,0.007455
38,1528117894274414000,0.003192,-0.0064,0.007453
39,1528117894306958000,0.0010630000000000001,-0.007462000000000001,0.008517
40,1528117894341073999,-1e-06,-0.0063950000000000005,0.007451999999999999
41,1528117894374411000,0.002128,-0.006399,0.008514
42,1528117894407463000,-1e-06,-0.0063950000000000005,0.007451999999999999
43,1528117894441074000,0.002128,-0.005333,0.008511
44,1528117894474409000,0.0021260000000000003,-0.00853,0.006398
45,1528117894507465000,0.002127,-0.007464,0.008518000000000001
46,1528117894541075000,0.001062,-0.007462000000000001,0.0063939999999999995
47,1528117894574412000,0.0010630000000000001,-0.006397,0.007451999999999999
48,1528117894607164000,0.0010630000000000001,-0.007462000000000001,0.008517
49,1528117894641069000,0.001062,-0.007462000000000001,0.0063939999999999995
50,1528117894674418000,0.002128,-0.006399,0.007453
51,1528117894707375000,0.001062,-0.008528,0.008520999999999999
52,1528117894741068000,-2e-06,-0.007461,0.006393
53,1528117894774413000,0.0010630000000000001,-0.006397,0.008514
54,1528117894807238000,0.0010630000000000001,-0.007462000000000001,0.007456
55,1528117894841068000,-0.001066,-0.007459,0.0074540000000000006
56,1528117894874412000,0.0010630000000000001,-0.007462000000000001,0.007456
57,1528117894907374000,0.0010630000000000001,-0.006397,0.008514
58,1528117894941065000,0.0010630000000000001,-0.007462000000000001,0.007456
59,1528117894974924000,-2e-06,-0.008526,0.007458
60,1528117895007371000,0.0010630000000000001,-0.006397,0.006391
61,1528117895041073000,0.002127,-0.00853,0.00746
62,1528117895074903000,0.001064,-0.006397,0.009575
63,1528117895107372000,-2e-06,-0.007461,0.007455
64,1528117895141069000,0.0010630000000000001,-0.007462000000000001,0.008517
65,1528117895174868000,-2e-06,-0.007461,0.007455
66,1528117895207364000,0.002128,-0.006399,0.007453
67,1528117895241065000,-1e-06,-0.0063950000000000005,0.008513
68,1528117895274675000,0.001062,-0.008528,0.005336
69,1528117895307377000,0.001062,-0.008528,0.008520999999999999
70,1528117895341062000,0.002127,-0.00853,0.008520999999999999
71,1528117895374581000,0.001062,-0.009594,0.007462000000000001
72,1528117895407366000,0.002128,-0.006399,0.008514
73,1528117895441068999,-0.001066,-0.006393,0.007451
74,1528117895474429000,0.002127,-0.007464,0.007456
75,1528117895507368999,-2e-06,-0.007461,0.008517
76,1528117895541070000,0.002127,-0.00853,0.00746
77,1528117895574535000,-2e-06,-0.007461,0.007455
78,1528117895607904000,0.001062,-0.008528,0.008520999999999999
79,1528117895641096000,0.003191,-0.008532,0.006399
80,1528117895674405000,0.002127,-0.007464,0.0063950000000000005
81,1528117895707368000,0.003192,-0.0074659999999999995,0.008518000000000001
82,1528117895741090000,0.002127,-0.007464,0.007456
83,1528117895774577000,-2e-06,-0.007461,0.008517
84,1528117895807385000,0.002127,-0.007464,0.0063950000000000005
85,1528117895841063000,0.001062,-0.008528,0.007459
86,1528117895874400000,-2e-06,-0.007461,0.007455
87,1528117895907383000,-3e-06,-0.008526,0.005335
88,1528117895941070000,0.002127,-0.007464,0.007456
89,1528117895974410000,0.001062,-0.007462000000000001,0.0063939999999999995
90,1528117896007358000,0.002127,-0.007464,0.008518000000000001
91,1528117896041123000,0.002128,-0.006399,0.007453
92,1528117896074409000,0.002127,-0.007464,0.0063950000000000005
93,1528117896107500000,0.003191,-0.008532,0.008522
94,1528117896141072000,0.003191,-0.008532,0.008522
95,1528117896174412000,0.001062,-0.008528,0.008520999999999999
96,1528117896207363000,0.0010630000000000001,-0.006397,0.008514
97,1528117896241380000,0.0010630000000000001,-0.006397,0.007451999999999999
98,1528117896274410000,0.0010630000000000001,-0.006397,0.007451999999999999
99,1528117896307362000,0.002127,-0.007464,0.008518000000000001
100,1528117896341064000,0.003191,-0.0074659999999999995,0.0063950000000000005
101,1528117896374411000,0.001062,-0.008528,0.008520999999999999
102,1528117896407675000,0.002127,-0.006399,0.006391
103,1528117896441064000,0.0010630000000000001,-0.007462000000000001,0.009579
104,1528117896474412999,0.002128,-0.006399,0.007453
105,1528117896507814000,0.002127,-0.00853,0.00746
106,1528117896541125000,0.0010630000000000001,-0.006397,0.008514
107,1528117896574351999,0.0010630000000000001,-0.007462000000000001,0.007456
108,1528117896607630999,0.001062,-0.007462000000000001,0.0063939999999999995
109,1528117896641429000,0.0010630000000000001,-0.007462000000000001,0.008517
110,1528117896674407000,-2e-06,-0.007461,0.007455
111,1528117896707515000,-0.001066,-0.007459,0.0074540000000000006
112,1528117896741071000,-2e-06,-0.007461,0.008517
113,1528117896774397000,0.002128,-0.006399,0.007453
114,1528117896807377000,0.002128,-0.006399,0.007453
115,1528117896841071000,0.003192,-0.0074659999999999995,0.007456999999999999
116,1528117896874414000,0.0010630000000000001,-0.006397,0.008514
117,1528117896907266000,0.003191,-0.008532,0.008522
118,1528117896941065000,0.0010630000000000001,-0.007462000000000001,0.007456
119,1528117896974416000,0.0010630000000000001,-0.005331,0.0063869999999999994
120,1528117897007641000,0.002127,-0.007464,0.007456
121,1528117897041065000,0.0010630000000000001,-0.006397,0.008514
122,1528117897074411000,0.0010630000000000001,-0.006397,0.007451999999999999
123,1528117897107300000,0.002127,-0.007464,0.007456
124,1528117897141071000,0.0010630000000000001,-0.006397,0.006391
