time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.024491,1.345589,-5.527212,-6.446169
0.057839,1.083864,-4.951087,-8.725531
0.091171,1.237098,-4.805185,-10.428617
0.124498,0.990936,-4.849629,-9.751483
0.157838,0.465390,-5.031146,-9.279509
0.191178,-0.594980,-5.109409,-8.553292
0.223587,-0.318440,-5.375324,-7.106992
0.257840,-0.514024,-5.206078,-7.646605
0.291218,-0.860148,-5.188271,-8.431781
0.324513,-1.626020,-4.269463,-9.090510
0.357949,-2.237312,-4.262579,-9.143783
0.390748,-0.064945,-5.365597,-8.544912
0.423627,5.515240,-7.894563,-11.869379
0.457845,-3.603103,-5.296911,-11.621720
0.491174,-7.267859,-5.202187,-14.779935
0.523950,-15.655944,-11.964702,-12.883659
0.557842,-10.207894,-4.534630,-11.832268
0.591171,-4.405488,2.180597,-6.595513
0.624572,11.213195,12.121378,-1.015926
0.657837,26.373073,17.234677,-13.692928
0.691394,9.569816,13.673325,-5.684187
0.724677,-9.584032,1.510047,-2.584334
0.757827,-44.311671,-27.801565,1.857668
0.791440,-44.743690,-35.019592,5.332377
0.824501,-27.525174,-15.860057,1.264333
0.857839,-7.487684,9.788295,-13.049912
0.890297,11.357301,21.162206,-15.340048
0.924529,35.528228,23.252269,-9.411494
0.957825,26.022908,22.588304,-6.581895
0.991318,-1.331523,19.919422,-2.319316
1.024529,-27.298465,8.078624,-17.039244
1.057834,-59.920328,-15.853174,-28.840835
1.091154,-48.066212,-10.746758,-28.589734
1.124252,-20.537746,5.123774,-14.045337
1.157847,3.870216,19.372477,-6.590425
1.191161,34.452445,26.792073,-6.951364
1.224500,43.964948,22.326877,-20.379873
1.256900,15.065304,22.088047,-1.557933
1.291164,-21.298381,17.025926,-4.798900
1.324521,-55.636050,-5.258304,-18.404586
1.357829,-61.297043,-21.018848,-15.100919
1.391161,-30.294766,-2.142737,-11.062205
1.424504,-6.903628,15.211505,-7.643313
1.457377,34.848700,26.584668,2.799969
1.491313,50.973176,23.310331,-16.150814
1.524154,23.920126,22.914376,-0.042948
1.557847,-28.639715,12.887550,-10.317283
1.591203,-57.106292,-7.990484,-26.479619
1.624507,-51.135688,-15.981119,-35.438293
1.657832,-16.203189,7.868675,-19.693161
1.691156,8.887744,16.248680,4.978471
1.724505,31.647987,17.736430,7.517014
1.757830,31.546529,14.508482,-3.729701
1.791168,9.674267,11.069837,0.851618
1.824581,-20.722855,2.403715,-5.315168
1.857833,-24.025175,-8.845844,-19.488749
1.891162,-15.236196,-6.012205,-18.223518
1.924660,-4.563960,-1.687823,-10.764416
1.957902,2.830197,-0.118068,-11.604511
1.990777,2.204241,-0.378148,-10.798684
2.024491,-0.955470,-0.390568,-9.059234
2.057854,1.529052,-2.924622,-9.005662
2.090369,-1.134294,-5.212812,-10.304413
2.124505,-19.057628,2.114904,-18.666910
2.157872,-21.210242,1.985463,-24.508372
2.191198,-16.896335,3.253986,-16.815528
2.224531,-4.793812,7.067487,-9.978491
2.257888,2.403266,7.349414,-8.516928
2.291306,6.472656,8.240987,-7.456708
2.324498,26.114041,6.288745,-11.820446
2.357855,28.796391,3.246504,-10.472762
2.391180,22.937869,7.707659,1.257450
2.424498,15.990845,20.943129,-0.020800
2.457838,-10.246501,36.092682,-15.052434
2.491168,-45.732830,23.845753,-27.503775
2.524498,-43.480704,12.751674,-41.081329
2.557838,-31.112714,11.783933,-26.151003
2.591173,-16.724994,14.078109,-12.278802
2.624505,-0.332207,19.221038,-7.769163
2.656965,9.063873,18.852018,-6.260462
2.691170,22.622721,14.074368,-5.643933
2.724580,39.555419,5.369488,-10.503438
2.757756,29.851374,6.443625,-2.315725
2.791159,14.546492,11.568747,-1.022361
2.824499,-15.214947,18.367475,-16.516691
2.857247,-35.586440,9.705692,-26.188563
2.891167,-28.029171,-0.983154,-25.205559
2.924328,-20.311336,-1.395121,-15.687220
2.957860,-13.729291,3.928726,-17.900289
2.991171,-5.254413,4.189404,-16.489605
3.024507,-1.914831,4.082709,-11.681278
3.057858,4.504851,2.898584,-8.495829
3.091184,8.773416,2.030505,-5.072896
3.124495,15.669861,1.867095,-5.015732
3.157982,16.741155,0.430373,-4.727670
3.190645,11.062953,0.356749,-6.471309
3.224507,2.721257,-0.491278,-6.692930
3.257835,1.312069,-1.736906,-7.846678
3.291171,-2.644191,-0.999016,-8.750222
3.324495,-1.756958,-1.143422,-13.886417
3.357844,-3.250095,-1.252811,-11.610347
3.391167,-6.820277,-2.358074,-13.115456
3.424500,-6.267196,-2.448308,-9.589270
3.457837,-4.528345,-2.366603,-11.237736
3.491167,-1.908995,-2.409850,-10.258623
3.524496,-3.074564,-2.528367,-9.212768
3.557817,-2.463422,-2.635661,-9.020926
3.591169,-2.613813,-2.577749,-8.763690
3.624508,-3.752746,-2.860425,-10.028771
3.656949,-6.138354,-3.617918,-11.444842
3.690398,-10.539353,-3.499550,-11.672599
3.724512,-9.975199,-2.344755,-11.726770
3.757837,-7.839495,-1.051990,-12.716358
3.791161,-5.178693,0.276241,-12.448348
3.824511,1.808585,1.870537,-9.782908
3.857837,7.124800,3.085039,-9.143783
3.891169,11.881650,3.216126,-8.887444
3.924503,15.841352,2.645238,-11.399800
3.957912,12.550105,1.948351,-10.737181
3.991174,8.089249,1.943563,-10.017997
4.024521,2.508165,3.667000,-5.582879
4.057841,-2.516994,5.429944,-8.032983
4.091170,-8.978876,12.027253,-13.581145
4.124516,-26.208166,2.800717,-23.254813
4.157835,-13.251631,-0.609945,-8.058871
4.190251,-7.755395,-2.179550,-7.588244
4.224508,-6.224398,-2.368100,-8.866644
4.257096,-3.448821,-1.357561,-9.654514
4.291406,-0.650199,-0.988242,-8.370727
4.324510,-0.965945,-1.377164,-7.266063
4.357847,-0.296443,-0.963701,-9.572510
4.390240,0.841891,-1.563619,-8.830281
4.424516,1.117683,0.114178,-9.806551
4.457835,3.417845,1.623177,-8.835668
4.491233,6.743210,4.555131,-8.205072
4.524505,6.571570,4.677839,-9.367200
4.557862,3.958355,6.378531,-12.238548
4.591228,1.444653,3.978856,-11.235342
4.624531,-5.274465,-0.127795,-11.961110
4.657842,-13.112164,-3.617169,-17.557607
4.691176,-13.116803,-2.949911,-16.717063
4.724533,-7.678629,-0.177327,-14.170439
4.757858,-4.475970,3.156718,-9.037536
4.791185,2.821218,7.116121,-9.183737
4.824573,7.867029,8.160628,-6.939542
4.857894,9.057588,7.886034,-3.507631
4.891206,9.286841,8.801400,-11.098718
4.924588,9.047263,8.037622,-9.153659
4.957941,6.333638,6.460385,-9.239853
4.991264,-2.866560,4.003398,-7.107591
5.023551,-12.778610,-0.925841,-9.371838
5.057842,-11.341888,-3.320727,-10.524388
5.091194,-6.997753,-2.906216,-11.237437
5.124597,-5.694064,-3.037153,-10.932614
5.157880,-3.621659,-3.085189,-9.758665
5.190740,-1.028047,-2.042926,-8.638588
5.224706,-0.320984,-1.527256,-8.326283
5.258089,-0.213241,-1.389884,-9.344903
5.291307,-0.926589,-1.021762,-11.297594
5.324595,-1.050643,-1.050793,-11.476567
5.357938,-2.340715,-1.920667,-11.417009
5.391303,-6.758624,-2.703898,-12.074689
5.424122,-3.916156,-1.350528,-12.739104
5.457943,-1.542370,-0.444440,-11.256741
5.491323,1.627966,-1.073090,-9.335924
5.524758,6.044228,0.342682,-10.022336
5.557913,7.260676,-1.240690,-7.133779
5.591323,7.787868,-1.689469,-6.106629
5.624814,3.841933,-3.518106,-5.962673
5.657927,-1.122621,-3.682563,-6.159753
5.691256,-7.207702,-7.026036,-10.587837
5.724655,-7.176128,-7.666208,-14.002091
5.757935,-7.962052,-6.941936,-11.853218
5.791282,-5.197548,-6.775084,-8.296055
5.824728,-3.067231,-5.548012,-6.826412
5.857947,-0.399098,-4.253451,-6.646541
5.891259,3.322522,-2.470006,-8.212255
5.924692,4.564708,-1.732716,-8.810827
5.958015,2.161892,-2.938987,-9.159794
5.991325,-0.641519,-3.912564,-10.771449
6.024584,-1.131151,-4.162019,-10.943389
6.057959,-0.610992,-4.178779,-9.442470
6.091257,0.131387,-4.271109,-8.875922
6.123919,-0.214738,-4.115331,-8.747977
6.157935,0.004938,-4.062956,-9.014940
6.191225,1.139381,-3.849864,-9.288038
6.224597,0.998418,-3.849116,-8.799305
6.258039,0.356001,-3.866026,-8.783442
6.291276,1.282590,-4.120718,-9.404311
6.324594,0.520608,-4.097822,-8.456024
6.357510,0.136025,-4.179079,-8.244129
6.390551,0.625807,-4.072682,-9.238207
6.424592,0.320236,-3.813351,-8.812174
6.457944,0.344029,-3.764867,-8.394820
6.491256,0.494720,-3.713090,-9.074498
6.524601,0.000599,-3.498203,-9.397577
6.557223,-0.030228,-3.460044,-9.550363
6.591261,0.007781,-3.628542,-10.055707
6.624827,-0.975672,-2.897387,-9.662445
6.656990,-0.691650,-3.338085,-9.589719
6.691207,-0.228654,-3.615374,-9.280856
6.724507,-0.254992,-3.610286,-9.085272
6.757916,-0.436658,-3.727157,-8.698894
6.791218,-0.254692,-3.472315,-9.693720
6.824597,-0.500705,-3.332848,-9.288936
6.858179,-0.701676,-3.772798,-8.770723
6.891210,-0.756445,-3.735687,-9.541234
6.924617,-0.966993,-4.160972,-8.765485
6.958028,-0.950233,-4.033476,-8.393623
6.991334,-0.838001,-4.004595,-8.364891
7.024598,-1.086408,-4.076872,-8.527403
7.057994,-0.763927,-4.243275,-9.301806
7.091282,-0.176279,-3.987087,-9.475541
7.124596,-0.229103,-4.532535,-8.997581
7.158069,0.974475,-3.156269,-6.968872
7.191265,0.207854,-4.329170,-9.223991
7.224652,0.532130,-5.520179,-9.497838
7.257946,-1.269421,-3.298430,-10.148635
7.291192,-0.373359,-3.203706,-12.523319
7.324588,-2.704198,-2.374085,-10.192929
7.358036,-0.557869,-3.441788,-10.044932
7.391304,-1.504809,-3.595022,-5.268330
7.424523,-0.845183,-3.935161,-8.398561
7.457830,-0.909231,-4.302983,-10.728202
7.490203,-2.385458,-3.968681,-8.090446
7.524513,-0.752105,-4.492431,-9.313178
7.557843,-1.645773,-4.880605,-7.670249
7.591188,-0.993629,-5.160287,-8.854224
7.624044,-0.294348,-5.362455,-8.022807
7.657820,-1.846594,-4.451129,-5.708280
7.690913,0.536470,-5.630765,-8.223927
7.724513,0.164458,-4.874918,-8.900912
7.757830,0.871072,-4.825237,-7.936463
7.791115,0.211745,-5.741950,-8.779851
7.824506,0.670400,-5.708729,-9.017933
7.857832,0.279084,-4.896168,-8.705179
7.891173,0.066591,-4.877761,-9.175357
7.924054,-0.721578,-5.187971,-8.221683
7.957822,-0.692697,-5.033540,-9.125975
7.991176,-1.003506,-5.201738,-7.830965
8.024509,-1.029543,-5.029948,-8.241585
8.057836,-1.421009,-5.060027,-9.019579
8.091173,-1.184873,-4.969642,-8.031936
8.124497,-1.304438,-5.256657,-7.640320
8.157831,-1.337958,-5.369189,-7.587646
8.191209,-1.715207,-5.345545,-7.733697
8.224287,-1.421458,-5.537687,-8.143270
8.257835,-1.213754,-5.708280,-8.419361
8.290671,-0.832164,-6.022829,-7.390117
8.324532,-0.545149,-5.777116,-8.189360
8.357826,-1.018171,-5.946661,-7.760184
8.391161,-0.511929,-5.984970,-7.766619
8.424494,-0.784279,-5.640941,-6.873250
8.457825,-0.919406,-4.596582,-8.459316
8.491160,-0.986147,-3.884132,-7.878851
8.524494,-1.272414,-3.691243,-8.566460
8.557828,-1.716554,-4.330667,-9.882420
8.591167,-1.372974,-4.518918,-9.292528
8.624506,-1.017422,-4.740988,-8.840756
8.657839,-1.607465,-5.077984,-8.237395
8.691170,-1.519175,-5.126169,-8.489993
8.724522,-1.421009,-4.949889,-9.081830
8.757829,-2.101735,-5.055088,-8.832076
8.790830,-1.851083,-5.001067,-8.056627
8.824511,-1.528603,-5.001516,-8.440161
8.857887,-1.284984,-4.737995,-8.438066
8.891230,-1.409188,-4.926844,-8.144467
8.924553,-1.526208,-4.855165,-8.237695
8.957884,-1.416520,-5.130508,-8.196543
8.991256,-1.521719,-5.326391,-7.824231
9.024609,-1.719846,-5.209370,-8.001109
9.057888,-1.583222,-4.210803,-8.344091
9.091256,-1.133396,-3.054961,-9.271278
9.124609,-0.131387,-0.590491,-9.937938
9.158033,1.358908,-0.042199,-10.397342
9.191265,-2.892897,-3.503441,-12.277904
9.224957,-13.470259,-11.569644,-14.944691
9.258676,-19.242736,-15.791820,-11.494973
9.291261,-16.407900,-11.765527,-14.103848
9.325054,-7.461497,-4.151395,-12.249323
9.358299,1.662383,2.530462,-6.020585
9.391260,7.507736,6.371946,-6.239961
9.424979,10.145493,9.519386,-5.553549
9.458315,7.990185,10.212233,-8.021610
9.491216,2.720958,8.997581,-5.607570
9.524710,0.825879,7.669351,-2.869254
9.557520,-7.332504,1.546709,-0.969088
9.591257,-16.590764,-7.276688,0.598422
9.625622,-24.650832,-26.396268,2.732181
9.656927,-23.494841,-30.210666,3.821881
9.690396,-21.792652,-22.815761,1.467099
9.724352,-16.628474,-7.786970,-2.369895
9.757909,-11.665416,-1.184574,-1.899568
9.791281,-5.540979,6.251783,-2.958291
9.824610,3.036704,11.090188,-3.467077
9.857872,19.177641,17.980947,-1.162726
9.891185,23.640593,19.776064,-5.949804
9.924518,4.300439,17.078450,-2.909657
9.957836,-2.102483,10.008270,5.596646
9.991180,-11.942255,6.284854,2.421223
10.024511,-35.054758,-9.586127,-4.024497
10.057828,-37.834675,-26.900864,0.807773
10.091157,-37.805495,-27.538941,-2.825857
10.124499,-20.514103,-9.133757,-3.586493
10.157825,-10.321622,1.282141,-4.180575
10.191161,0.498161,6.017442,-3.603402
10.224499,8.249067,4.203770,-4.829876
10.257847,8.377611,3.542497,-4.911880
10.291169,5.209819,0.313053,-5.839666
10.324589,2.505921,-1.831630,-7.375003
10.357924,-1.897024,-2.234618,-10.037151
10.391261,-2.452947,-5.082922,-8.195645
10.424511,-3.038051,-5.296014,-8.050491
10.457896,-3.778335,-5.867949,-9.035291
10.490340,-3.391957,-6.016993,-7.873015
10.524548,-2.904121,-5.482020,-9.051603
10.558085,-2.594060,-5.583478,-8.113641
10.590833,-2.582089,-5.407946,-7.679975
10.624535,-1.767732,-4.915920,-7.262471
