time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.013772,-0.305633,-0.219019,-0.085424
0.053720,-0.223657,-0.199978,-0.074830
0.083688,-0.076769,-0.220486,-0.068322
0.113656,-0.135239,-0.062645,-0.080540
0.153604,-0.082040,-0.142673,-0.019746
0.183541,-0.057628,-0.249296,-0.087326
0.213510,-0.066075,-0.132043,-0.048434
0.253436,-0.104342,-0.012607,-0.072195
0.283374,-0.182069,-0.049774,-0.080605
0.313342,-0.107531,-0.016864,-0.045644
0.353290,-0.018127,-0.044732,-0.032771
0.383258,-0.042603,-0.030834,-0.034952
0.413196,-0.030909,-0.038315,-0.079506
0.453143,-0.042633,-0.073465,-0.069844
0.483111,-0.008637,-0.180105,-0.125742
0.513049,0.051962,-0.288922,-0.209220
0.552997,0.182781,-0.358428,-0.508282
0.582965,0.465758,-0.415412,-1.075879
0.612933,0.639270,-0.400794,-1.091764
0.652850,0.169540,-1.027727,-1.036883
0.682818,0.135580,-0.873126,-0.934433
0.712787,-0.002626,-0.605369,-0.774017
0.752734,0.026313,-0.374141,-0.443555
0.782672,-0.198297,-0.496315,-0.230962
0.812640,-0.119542,-0.513505,-0.259529
0.852588,-0.217594,-0.798968,-0.172666
0.882556,-0.287859,-0.865990,-0.080129
0.912494,-0.088923,-1.065642,-0.154751
0.952441,-0.186754,-0.804351,-0.278786
0.982410,-0.256892,-0.591068,-0.239176
1.012347,-0.435616,-0.398911,-0.198488
1.052295,-0.440980,-0.553443,-0.056805
1.082263,-0.420846,-0.752782,-0.021116
1.112231,-0.321763,-0.597349,0.018766
1.152148,-0.380091,-0.146414,-0.013512
1.182117,-0.279846,0.197663,0.038496
1.212085,-0.138047,0.617339,0.097711
1.252019,-0.216527,1.204731,0.084087
1.281957,-0.151356,1.651186,0.142115
1.311925,-0.114938,2.115810,0.117269
1.351873,0.090663,2.348860,0.287521
1.381811,0.201411,2.464838,0.228815
1.411779,0.256803,2.544676,0.229644
1.451726,0.450844,3.134788,0.278777
