time_tick,mag_X_value,mag_Y_value,mag_Z_value
0.015545,-21.771835,-36.126984,-33.617859
0.043751,-21.546341,-36.202744,-33.920654
0.049017,-21.171021,-35.979355,-33.698883
0.078552,-21.392273,-35.603012,-34.594940
0.099536,-21.386505,-34.627670,-35.341125
0.124122,-22.056931,-33.799728,-35.855408
0.148599,-21.674942,-32.525879,-36.604523
0.176306,-23.466263,-30.943237,-37.553497
0.198469,-23.538864,-30.342957,-37.550293
0.224255,-23.764694,-30.267273,-37.097504
0.249495,-23.166992,-30.569885,-36.655273
0.273852,-23.473099,-32.518326,-37.334717
0.299054,-23.176956,-32.969925,-36.514771
0.324449,-23.405151,-33.344345,-35.838745
0.349312,-23.481720,-33.644119,-35.689117
0.374573,-23.261398,-34.395325,-35.019562
0.398695,-23.036682,-34.471222,-35.022339
0.424377,-22.664398,-34.922897,-34.653198
0.448657,-22.593414,-35.598450,-34.131714
0.474035,-22.594650,-35.673630,-33.757019
0.499308,-22.297272,-36.050034,-33.311768
0.524474,-22.225174,-36.350662,-32.638794
0.548723,-22.007935,-37.027542,-30.618866
0.576032,-21.861679,-37.028885,-29.120483
0.599031,-22.387985,-37.401733,-29.191193
0.624428,-22.311844,-37.401810,-29.642029
0.649654,-21.947159,-38.529434,-27.325531
0.675553,-21.575592,-38.831360,-26.430817
0.698885,-21.204590,-39.508118,-25.912628
0.724139,-20.682312,-39.810501,-25.319580
0.747712,-19.640564,-41.090286,-24.061157
0.774093,-18.970825,-41.618607,-22.795624
0.797724,-18.524658,-42.295609,-22.353241
0.826898,-17.408966,-43.650848,-20.795959
0.848317,-17.112518,-44.027451,-19.975708
0.872466,-15.990753,-44.332336,-19.164246
0.897567,-14.945969,-44.562378,-17.451691
0.923367,-14.499283,-45.539047,-17.685486
0.947582,-13.004364,-46.070618,-16.504089
0.974610,-11.881760,-46.300400,-15.917358
0.999061,-11.658356,-46.226669,-15.169525
1.023064,-10.088959,-46.983459,-14.139801
1.047186,-9.340027,-47.211487,-14.073944
1.074156,-8.741867,-47.439072,-13.706451
1.097205,-7.620880,-47.893997,-12.820587
1.123541,-6.947861,-47.972015,-12.153290
1.147734,-6.200027,-48.050385,-11.411835
1.172167,-5.603622,-48.578064,-10.820526
1.197801,-5.307526,-48.804840,-9.624664
1.223214,-5.010651,-49.031479,-8.728851
1.247872,-5.014145,-49.481796,-8.055603
1.274330,-4.790955,-49.557999,-7.458374
1.297607,-5.169464,-49.782013,-6.405121
1.322962,-5.022476,-50.157898,-5.808228
1.347306,-5.024429,-50.083328,-4.907898
1.372466,-5.704269,-50.681107,-3.927795
1.397441,-5.931686,-50.680679,-2.950348
1.423144,-5.786377,-51.056900,-1.678436
1.447153,-5.639160,-51.282867,-0.930939
1.471674,-4.972672,-51.586990,1.985504
1.496540,-4.451797,-52.114487,2.802673
1.522231,-3.780563,-52.117905,4.295258
1.546528,-3.635361,-52.194397,6.093353
1.572129,-2.518753,-52.425354,9.080139
1.597172,-2.368179,-51.901260,9.680603
1.621544,-1.772842,-52.279266,10.947540
1.647294,-0.948975,-51.908081,11.989960
1.672233,-0.575409,-52.134689,12.209930
1.698598,0.323593,-51.913651,12.950928
1.721978,0.173096,-52.137985,12.801697
1.746759,0.170975,-51.913574,14.002655
1.772548,0.318344,-51.914688,15.050964
